User_ID,Channel,Stage,Conversion_Date,Revenue
2021,Organic,Purchased,16-01-2026,315
2022,Instagram,Visited Website,22-01-2026,0
2022,Instagram,Signed Up,23-01-2026,0
2022,Instagram,Added to Cart,24-01-2026,0
2023,Google Ads,Visited Website,17-01-2026,0
2023,Google Ads,Signed Up,18-01-2026,0
2023,Google Ads,Added to Cart,19-01-2026,0
2023,Google Ads,Purchased,20-01-2026,508
2024,Instagram,Visited Website,02-01-2026,0
2024,Instagram,Signed Up,03-01-2026,0
2024,Instagram,Added to Cart,04-01-2026,0
2024,Instagram,Purchased,05-01-2026,347
2025,Instagram,Visited Website,18-01-2026,0
2025,Instagram,Signed Up,19-01-2026,0
2025,Instagram,Added to Cart,20-01-2026,0
2026,Organic,Visited Website,17-01-2026,0
2026,Organic,Signed Up,18-01-2026,0
2026,Organic,Added to Cart,19-01-2026,0
2027,Facebook,Visited Website,08-01-2026,0
2027,Facebook,Signed Up,09-01-2026,0
2027,Facebook,Added to Cart,10-01-2026,0
2027,Facebook,Purchased,11-01-2026,500
2028,Email,Visited Website,29-01-2026,0
2028,Email,Signed Up,30-01-2026,0
2028,Email,Added to Cart,31-01-2026,0
2028,Email,Purchased,01-02-2026,315
2029,Google Ads,Visited Website,28-01-2026,0
2029,Google Ads,Signed Up,29-01-2026,0
2029,Google Ads,Added to Cart,30-01-2026,0
2029,Google Ads,Purchased,31-01-2026,360
2030,Facebook,Visited Website,25-01-2026,0
2031,Organic,Visited Website,23-01-2026,0
2032,Google Ads,Visited Website,05-01-2026,0
2033,Email,Visited Website,28-01-2026,0
2033,Email,Signed Up,29-01-2026,0
2033,Email,Added to Cart,30-01-2026,0
2033,Email,Purchased,31-01-2026,353
2034,Google Ads,Visited Website,12-01-2026,0
2034,Google Ads,Signed Up,13-01-2026,0
2035,Google Ads,Visited Website,26-01-2026,0
2036,Organic,Visited Website,16-01-2026,0
2037,Facebook,Visited Website,04-01-2026,0
2037,Facebook,Signed Up,05-01-2026,0
2037,Facebook,Added to Cart,06-01-2026,0
2037,Facebook,Purchased,07-01-2026,106
2038,Instagram,Visited Website,05-01-2026,0
2038,Instagram,Signed Up,06-01-2026,0
2038,Instagram,Added to Cart,07-01-2026,0
2038,Instagram,Purchased,08-01-2026,315
2039,Google Ads,Visited Website,05-01-2026,0
2039,Google Ads,Signed Up,06-01-2026,0
2039,Google Ads,Added to Cart,07-01-2026,0
2040,Organic,Visited Website,09-01-2026,0
2041,Facebook,Visited Website,06-01-2026,0
2042,Facebook,Visited Website,11-01-2026,0
2043,Facebook,Visited Website,02-01-2026,0
2043,Facebook,Signed Up,03-01-2026,0
2044,Email,Visited Website,29-01-2026,0
2044,Email,Signed Up,30-01-2026,0
2045,Instagram,Visited Website,10-01-2026,0
2045,Instagram,Signed Up,11-01-2026,0
2045,Instagram,Added to Cart,12-01-2026,0
2045,Instagram,Purchased,13-01-2026,133
2046,Instagram,Visited Website,10-01-2026,0
2047,Instagram,Visited Website,21-01-2026,0
2047,Instagram,Signed Up,22-01-2026,0
2047,Instagram,Added to Cart,23-01-2026,0
2047,Instagram,Purchased,24-01-2026,215
2048,Google Ads,Visited Website,27-01-2026,0
2048,Google Ads,Signed Up,28-01-2026,0
2048,Google Ads,Added to Cart,29-01-2026,0
2048,Google Ads,Purchased,30-01-2026,286
2049,Instagram,Visited Website,14-01-2026,0
2049,Instagram,Signed Up,15-01-2026,0
2050,Organic,Visited Website,18-01-2026,0
2050,Organic,Signed Up,19-01-2026,0
2050,Organic,Added to Cart,20-01-2026,0
2050,Organic,Purchased,21-01-2026,465
2051,Google Ads,Visited Website,29-01-2026,0
2051,Google Ads,Signed Up,30-01-2026,0
2051,Google Ads,Added to Cart,31-01-2026,0
2051,Google Ads,Purchased,01-02-2026,186
2052,Email,Visited Website,16-01-2026,0
2052,Email,Signed Up,17-01-2026,0
2052,Email,Added to Cart,18-01-2026,0
2052,Email,Purchased,19-01-2026,100
2053,Facebook,Visited Website,17-01-2026,0
2053,Facebook,Signed Up,18-01-2026,0
2054,Facebook,Visited Website,07-01-2026,0
2054,Facebook,Signed Up,08-01-2026,0
2054,Facebook,Added to Cart,09-01-2026,0
2055,Email,Visited Website,29-01-2026,0
2055,Email,Signed Up,30-01-2026,0
2055,Email,Added to Cart,31-01-2026,0
2055,Email,Purchased,01-02-2026,260
2056,Facebook,Visited Website,04-01-2026,0
2056,Facebook,Signed Up,05-01-2026,0
2056,Facebook,Added to Cart,06-01-2026,0
2056,Facebook,Purchased,07-01-2026,460
2057,Google Ads,Visited Website,23-01-2026,0
2057,Google Ads,Signed Up,24-01-2026,0
2058,Facebook,Visited Website,20-01-2026,0
2058,Facebook,Signed Up,21-01-2026,0
2058,Facebook,Added to Cart,22-01-2026,0
2058,Facebook,Purchased,23-01-2026,403
2059,Google Ads,Visited Website,05-01-2026,0
2059,Google Ads,Signed Up,06-01-2026,0
2060,Organic,Visited Website,07-01-2026,0
2060,Organic,Signed Up,08-01-2026,0
2060,Organic,Added to Cart,09-01-2026,0
2060,Organic,Purchased,10-01-2026,576
